il,urun,toprak_tipi,iklim_tipi,onerilen_yontem
Kilis,Fasulye,Kireçli,Çok Yağışlı,Malçlama
Çorum,Ayçiçeği,Killi,Rüzgarlı,Rüzgar Kıran
Kırşehir,Buğday,Zayıf,Rüzgarlı,Kompost
Muş,Ayçiçeği,Kumlu,Az Yağışlı,Organik Gübre
Kahramanmaraş,Elma,Kahverengi,Soğuk,Toprak Analizi
Afyonkarahisar,Buğday,Killi,Nem Düşük,Malçlama
Burdur,Fasulye,Tuzlu,Soğuk,Bitki Örtüsü Koruma
Tunceli,Domates,Zayıf,Yarı Kurak,Rüzgar Kıran
Tekirdağ,Kabak,Kumlu,Kışı Uzun,Toprak Analizi
Konya,Soğan,Tınlı,Alçak Rakım,Damla Sulama
Yozgat,Çilek,Tınlı,Soğuk,Nöbetleşe Ekim
Adana,Karpuz,Killi,Ilık Kış,Kompost
Bursa,Elma,Tınlı,Yüksek Rakım,Malçlama
Giresun,Domates,Kumlu,Karasal,Toprak Analizi
Tekirdağ,Soğan,Kireçli,Kışı Uzun,Toprak Analizi
İstanbul,Üzüm,Kırmızı,Soğuk,Malçlama
Kocaeli,Nohut,Kırmızı,Karasal,Damla Sulama
Karabük,Sarımsak,Organik,Akdeniz,Organik Gübre
İzmir,Çilek,Tınlı,Ilıman,Bitki Örtüsü Koruma
Bitlis,Mısır,Tınlı,Karasal,Kompost
Sivas,Zeytin,Yumuşak,Kurak,Yağmur Suyu Toplama
Bolu,Sarımsak,Killi,Karadeniz,Azot Takviyesi
Erzincan,Soğan,Asidik,Ilık Kış,Kompost
Burdur,Arpa,Alüvyal,Sıcak,Azot Takviyesi
İzmir,Kayısı,Tuzlu,Yarı Kurak,Azot Takviyesi
Hakkâri,Domates,Organik,Akdeniz,Nöbetleşe Ekim
Eskişehir,Mısır,Sert,Yazı Kısa,Kompost
Amasya,Elma,Çorak,Nem Düşük,Rüzgar Kıran
Kilis,Kayısı,Toprak B,Akdeniz,Nöbetleşe Ekim
Nevşehir,Pamuk,Toprak B,Rüzgarlı,Kompost
Trabzon,Zeytin,Kahverengi,Az Yağışlı,Malçlama
Samsun,Mercimek,Yumuşak,Denizel,Toprak Analizi
Aydın,Üzüm,Bazik,Yazı Kısa,Organik Gübre
Bitlis,Nohut,Asidik,Denizel,Bitki Örtüsü Koruma
Diyarbakır,Çilek,Yumuşak,Akdeniz,Rüzgar Kıran
Kırşehir,Elma,Kireçli,Çok Yağışlı,Bitki Örtüsü Koruma
İzmir,Kayısı,Taşlı,Nemli,Kompost
Konya,Pamuk,Verimli,Don Tehlikesi,Kompost
Gümüşhane,Üzüm,Verimli,Ilıman,Damla Sulama
İzmir,Kabak,Çorak,Karadeniz,Malçlama
Gaziantep,Pamuk,Yumuşak,Yüksek Rakım,Azot Takviyesi
Hakkâri,Ayçiçeği,Tınlı,Yazı Kısa,Rüzgar Kıran
Elazığ,Nohut,Kumlu,Yazı Kısa,Damla Sulama
Erzincan,Patates,Tınlı,Ilık Kış,Damla Sulama
Edirne,Karpuz,Kırmızı,Denizel,Bitki Örtüsü Koruma
Adıyaman,Sarımsak,Tuzlu,Don Tehlikesi,Damla Sulama
Kocaeli,Biber,Killi,Yazı Kısa,Yağmur Suyu Toplama
Muş,Soğan,Kumlu,Yarı Kurak,Azot Takviyesi
Afyonkarahisar,Soğan,Kahverengi,Akdeniz,Damla Sulama
Ardahan,Soğan,Bazik,Yazı Kısa,Malçlama
Gaziantep,Karpuz,Alüvyal,Karadeniz,Rüzgar Kıran
Batman,Mısır,Toprak B,Soğuk,Toprak Analizi
Tekirdağ,Kayısı,Drenajlı,Yazı Kısa,Yağmur Suyu Toplama
Trabzon,Soğan,Kireçli,Nem Düşük,Rüzgar Kıran
Muğla,Zeytin,Drenajlı,Karasal,Rüzgar Kıran
Sakarya,Karpuz,Kırmızı,Akdeniz,Yağmur Suyu Toplama
Adana,Soğan,Killi,Sıcak,Damla Sulama
Burdur,Domates,Kumlu,Az Yağışlı,Organik Gübre
Eskişehir,Zeytin,Sert,Yazı Kısa,Toprak Analizi
Çankırı,Soğan,Sert,Karasal,Nöbetleşe Ekim
Çanakkale,Patates,Verimli,Denizel,Damla Sulama
Erzincan,Nohut,Bazik,Çok Yağışlı,Kompost
Kütahya,Üzüm,Toprak A,Yüksek Rakım,Malçlama
Erzurum,Mercimek,Taşlı,Sıcak,Bitki Örtüsü Koruma
Antalya,Karpuz,Kumlu,Çok Yağışlı,Organik Gübre
Niğde,Nohut,Taşlı,Ilık Kış,Bitki Örtüsü Koruma
Afyonkarahisar,Patates,Organik,Karasal,Azot Takviyesi
Isparta,Pamuk,Kumlu,Yazı Kısa,Bitki Örtüsü Koruma
İstanbul,Fasulye,Tuzlu,Denizel,Toprak Analizi
Şırnak,Çilek,Alüvyal,Soğuk,Yağmur Suyu Toplama
Çorum,Nohut,Sert,Rüzgarlı,Yağmur Suyu Toplama
Sivas,Biber,Verimli,Alçak Rakım,Azot Takviyesi
Kayseri,Buğday,Killi,Ilıman,Toprak Analizi
Mersin,Pamuk,Taşlı,Alçak Rakım,Toprak Analizi
Kütahya,Çilek,Zayıf,Akdeniz,Damla Sulama
